double33.jpg,|(array([ 6.75      , 11.41148325]), array([85.453125  , 11.41148325]), array([  4.59375   , 170.66985646]), array([ 87.1875    , 172.67942584]), array([118.453125  ,  12.70334928]), array([191.671875  ,  16.07655502]), array([124.125     , 173.68421053]), array([200.625     , 167.65550239]))|
double33.jpg,|(array([10.77306733, 19.46938776]), array([136.3840399 ,  19.46938776]), array([  7.33167082, 291.18367347]), array([139.1521197, 294.6122449]), array([189.05236908,  21.67346939]), array([305.91022444,  27.42857143]), array([198.10473815, 296.32653061]), array([320.19950125, 286.04081633]))|
double33.jpg,|(array([11.42857143, 15.74257426]), array([144.68253968,  15.74257426]), array([  7.77777778, 235.44554455]), array([147.61904762, 238.21782178]), array([200.55555556,  17.52475248]), array([324.52380952,  22.17821782]), array([210.15873016, 239.6039604 ]), array([339.68253968, 231.28712871]))|
double33.jpg,|(array([ 5.41353383, 12.68617021]), array([68.53383459, 12.68617021]), array([  3.68421053, 189.73404255]), array([ 69.92481203, 191.96808511]), array([95.        , 14.12234043]), array([153.72180451,  17.87234043]), array([ 99.54887218, 193.08510638]), array([160.90225564, 186.38297872]))|
double33.jpg,|(array([ 5.40675845, 14.90625   ]), array([68.44806008, 14.90625   ]), array([  3.6795995, 222.9375   ]), array([ 69.83729662, 225.5625    ]), array([94.88110138, 16.59375   ]), array([153.52941176,  21.        ]), array([ 99.42428035, 226.875     ]), array([160.7008761, 219.       ]))|
double33.jpg,|(array([ 6.3622975 , 10.81632653]), array([80.544919  , 10.81632653]), array([  4.32989691, 161.76870748]), array([ 82.17967599, 163.67346939]), array([111.64948454,  12.04081633]), array([180.66273932,  15.23809524]), array([116.99558174, 164.62585034]), array([189.10162003, 158.91156463]))|
double33.jpg,|(array([10.48543689, 10.74324324]), array([132.74271845,  10.74324324]), array([  7.13592233, 160.67567568]), array([135.4368932 , 162.56756757]), array([184.00485437,  11.95945946]), array([297.74271845,  15.13513514]), array([192.81553398, 163.51351351]), array([311.65048544, 157.83783784]))|
double33.jpg,|(array([10.64039409, 10.71910112]), array([134.7044335 ,  10.71910112]), array([  7.24137931, 160.31460674]), array([137.43842365, 162.20224719]), array([186.72413793,  11.93258427]), array([302.14285714,  15.1011236 ]), array([195.66502463, 163.14606742]), array([316.25615764, 157.48314607]))|
double33.jpg,|(array([10.85427136, 13.43661972]), array([137.4120603 ,  13.43661972]), array([  7.38693467, 200.95774648]), array([140.20100503, 203.32394366]), array([190.47738693,  14.95774648]), array([308.2160804 ,  18.92957746]), array([199.59798995, 204.50704225]), array([322.61306533, 197.4084507 ]))|
double33.jpg,|(array([10.77306733, 15.4368932 ]), array([136.3840399,  15.4368932]), array([  7.33167082, 230.87378641]), array([139.1521197 , 233.59223301]), array([189.05236908,  17.18446602]), array([305.91022444,  21.74757282]), array([198.10473815, 234.95145631]), array([320.19950125, 226.7961165 ]))|
